time,speed
38:16.3,1.1821752600000002
38:16.4,1.1748750380000001
38:16.5,1.1811216990000002
38:16.6,1.1821139340000002
38:16.7,1.178430921
38:16.8,1.184704327
38:16.9,1.1840123144999999
38:17.0,1.1779471730000002
38:17.1,1.1762429110000001
38:17.2,1.184581925
38:17.3,1.185065395
38:17.4,1.190225865
38:17.5,1.1855881359999998
38:17.6,1.188417052
38:17.7,1.183890501
38:17.8,1.183474482
38:17.9,1.1876662530000002
38:18.0,1.190489741
38:18.1,1.1849378105000001
38:18.2,1.1793195760000001
38:18.3,1.176439701
38:18.4,1.167520923
38:18.5,1.1679993204999999
38:18.6,1.169469559
38:18.7,1.160430531
38:18.8,1.156382676
38:18.9,1.167473434
38:19.0,1.166252319
38:19.1,1.173415624
38:19.2,1.175932456
38:19.3,1.175313901
38:19.4,1.175023453
38:19.5,1.182386501
38:19.6,1.1841596559999998
38:19.7,1.187735999
38:19.8,1.195488032
38:19.9,1.1905679450000002
38:20.0,1.185553078
38:20.1,1.184808351
38:20.2,1.19259194
38:20.3,1.192985132
38:20.4,1.1883101305000001
38:20.5,1.195243149
38:20.6,1.19268003
38:20.7,1.180530333
38:20.8,1.1716714320000001
38:20.9,1.184525909
38:21.0,1.178279427
38:21.1,1.172890242
38:21.2,1.1697554975000002
38:21.3,1.176297503
38:21.4,1.1651482450000001
38:21.5,1.160381478
38:21.6,1.159557544
38:21.7,1.1689488135000001
38:21.8,1.168161768
38:21.9,1.1727087625000001
38:22.0,1.185089029
38:22.1,1.181357462
38:22.2,1.17313144
38:22.3,1.1658237420000002
38:22.4,1.165811669
38:22.5,1.158904896
38:22.6,1.16102557
38:22.7,1.164648183
38:22.8,1.162213719
38:22.9,1.159791336
38:23.0,1.15869579
38:23.1,1.1552819644999999
38:23.2,1.162493387
38:23.3,1.171583502
38:23.4,1.176248353
38:23.5,1.172178977
38:23.6,1.176565703
38:23.7,1.1779659900000001
38:23.8,1.1736513505000001
38:23.9,1.162532366
38:24.0,1.1624114639999998
38:24.1,1.174230354
38:24.2,1.16669841
38:24.3,1.162163566
38:24.4,1.170613309
38:24.5,1.175699594
38:24.6,1.176494613
38:24.7,1.176351257
38:24.8,1.193317991
38:24.9,1.192691157
38:25.0,1.1973416110000001
38:25.1,1.1936111770000002
38:25.2,1.195373601
38:25.3,1.17831328
38:25.4,1.1767322189999998
38:25.5,1.168779653
38:25.6,1.170703587
38:25.7,1.1701444799999998
38:25.8,1.1736543515000002
38:25.9,1.175209167
38:26.0,1.169529479
38:26.1,1.1580593060000002
38:26.2,1.149337186
38:26.3,1.149542482
38:26.4,1.142819273
38:26.5,1.144786002
38:26.6,1.146974482
38:26.7,1.153039175
38:26.8,1.142321836
38:26.9,1.148667661
38:27.0,1.149133506
38:27.1,1.139671308
38:27.2,1.130285219
38:27.3,1.1255794744999998
38:27.4,1.109862128
38:27.5,1.097558877
38:27.6,1.107599035
38:27.7,1.123374803
38:27.8,1.1368427360000002
38:27.9,1.133781204
38:28.0,1.1391363545000002
38:28.1,1.134892247
38:28.2,1.1283252314999999
38:28.3,1.1174393980000001
38:28.4,1.1245852735000001
38:28.5,1.132588638
38:28.6,1.125258616
38:28.7,1.106735075
38:28.8,1.0984707089999999
38:28.9,1.104632603
38:29.0,1.1024083875000001
38:29.1,1.114877244
38:29.2,1.122385446
38:29.3,1.132391623
38:29.4,1.124976685
38:29.5,1.122448226
38:29.6,1.1201555724999999
38:29.7,1.118997342
38:29.8,1.109373361
38:29.9,1.094609356
38:30.0,1.0760736075000001
38:30.1,1.084455407
38:30.2,1.077781824
38:30.3,1.068635597
38:30.4,1.066737255
38:30.5,1.061746449
38:30.6,1.05466115
38:30.7,1.055969928
38:30.8,1.063597989
38:30.9,1.081911364
38:31.0,1.0893095105000001
38:31.1,1.086800203
38:31.2,1.09662203
38:31.3,1.104459421
38:31.4,1.102845808
38:31.5,1.099652306
38:31.6,1.1002998865000002
38:31.7,1.106055474
38:31.8,1.111250771
38:31.9,1.110006749
38:32.0,1.117479312
38:32.1,1.124035612
38:32.2,1.1216919225000002
38:32.3,1.125076404
38:32.4,1.121724527
38:32.5,1.129873795
38:32.6,1.131943863
38:32.7,1.139877288
38:32.8,1.1416274075000001
38:32.9,1.148706918
38:33.0,1.149972289
38:33.1,1.156778005
38:33.2,1.158191988
38:33.3,1.163294677
38:33.4,1.166633687
38:33.5,1.1604649710000001
38:33.6,1.151878177
38:33.7,1.1489912635000001
38:33.8,1.14712954
38:33.9,1.1504929910000001
38:34.0,1.160934126
38:34.1,1.167704278
38:34.2,1.1768309394999998
38:34.3,1.171280045
38:34.4,1.170186034
38:34.5,1.1620341875000002
38:34.6,1.1509414850000002
38:34.7,1.131539804
38:34.8,1.132412105
38:34.9,1.119113802
38:35.0,1.1330261885000001
38:35.1,1.1307111380000001
38:35.2,1.1273759239999999
38:35.3,1.119057124
38:35.4,1.119023791
38:35.5,1.108980208
38:35.6,1.1101569919999998
38:35.7,1.106186411
38:35.8,1.110895802
38:35.9,1.104902568
38:36.0,1.105122406
38:36.1,1.111631915
38:36.2,1.1164919420000001
38:36.3,1.11889766
38:36.4,1.1174541809999998
38:36.5,1.111328031
38:36.6,1.1020488935000001
38:36.7,1.092852706
38:36.8,1.081089583
38:36.9,1.089259906
38:37.0,1.086917636
38:37.1,1.087140803
38:37.2,1.098566789
38:37.3,1.104318075
38:37.4,1.099945557
38:37.5,1.1003113199999999
